epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
111,15518.1,1.09181,0.77504,1.11093,0.80156,0.6656,0.6801,0.46194,1.84544,1.66998,1.66208,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,15658.9,1.08675,0.77318,1.10931,0.80003,0.66691,0.68206,0.46373,1.84572,1.66656,1.66787,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,15800.8,1.06961,0.75767,1.10127,0.79862,0.6683,0.68264,0.46336,1.84892,1.66549,1.67427,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,15943.6,1.06671,0.75411,1.10217,0.79603,0.67059,0.68381,0.45915,1.8473,1.66444,1.67562,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,16085.8,1.05224,0.73651,1.09069,0.79981,0.66849,0.68506,0.46329,1.8479,1.66318,1.67859,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,16228.7,1.05257,0.73084,1.09203,0.7989,0.66849,0.68423,0.46491,1.84599,1.67081,1.675,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,16371,1.05035,0.73502,1.08748,0.79334,0.66615,0.68145,0.46336,1.8441,1.6656,1.67314,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,16513.8,1.04699,0.7322,1.09203,0.79204,0.66464,0.68038,0.46044,1.83851,1.66329,1.66924,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,16656.5,1.0432,0.73641,1.09161,0.78132,0.67221,0.68135,0.45937,1.8344,1.66178,1.66449,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,16799.3,1.02772,0.70872,1.0771,0.79256,0.65041,0.67958,0.45725,1.83118,1.65872,1.66536,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,16941.4,1.02096,0.71439,1.07673,0.79221,0.65199,0.6798,0.45588,1.82711,1.65816,1.6631,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,17083.4,1.01929,0.70378,1.07442,0.79493,0.65124,0.68052,0.45649,1.8294,1.65553,1.66601,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,17225.2,1.01005,0.7022,1.07061,0.79251,0.65041,0.67981,0.45685,1.82708,1.65882,1.66658,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
124,17363.8,1.00664,0.69883,1.07166,0.78869,0.65222,0.67926,0.45598,1.82548,1.65621,1.66822,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
125,17502.7,1.00708,0.69778,1.0703,0.78904,0.65461,0.67986,0.45678,1.82717,1.65655,1.66876,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
126,17641.5,0.99127,0.67845,1.062,0.78786,0.65409,0.67825,0.45568,1.82385,1.65652,1.66349,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
127,17780.8,0.99305,0.68696,1.0614,0.78691,0.65461,0.67642,0.45507,1.82588,1.65695,1.66635,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
128,17919.5,0.9939,0.68415,1.06107,0.788,0.65356,0.6755,0.45524,1.82728,1.65883,1.66721,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618
129,18058.1,0.98963,0.67141,1.05257,0.7852,0.65409,0.67511,0.45492,1.828,1.6607,1.66692,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
130,18197.4,0.97866,0.6645,1.05404,0.78238,0.65724,0.67362,0.45401,1.82875,1.66143,1.66816,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
131,18335.5,0.97151,0.66298,1.05265,0.7858,0.65724,0.67397,0.4538,1.82868,1.66379,1.66704,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
132,18474.2,0.96332,0.65871,1.04976,0.80285,0.66849,0.6834,0.45325,1.82907,1.6674,1.66818,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354
133,18613.2,0.96294,0.66048,1.053,0.79829,0.66796,0.6829,0.45424,1.82898,1.66786,1.66893,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
